1. Wat was je score op de GapMinder test? Je hoeft je niet te schamen als het slecht was :-). De meeste mensen score vrij slecht.  Noteer de score hieronder als een breuk.,2. Met welke hand schrijf je?,3. Wat is je schoenmaat?,4. Wat is je lichaamslengte (in cm)?,5. Wat is je bloedgroep: AB0?,6. Wat is de resusfactor van je bloedgroep?,7. Hoeveel broers / zussen heb je?,8. Vink alle beweringen aan die volgens aannemelijk zijn.,9. Welke rijbewijzen heb je al volledig behaald?,10. Mijn domicilieadres ligt,11. Welke afstudeerrichting denk je te kiezen?,12. Wat is je favoriete vrijetijdsbesteding?,13. Hoeveel uren wiskunde had je in het laatste jaar middelbaar?,14. Hoe belangrijk is het voor je om informaticus te worden?,15. Hoeveel uur werk je gemiddelde per week voor school buiten de schooluren? Noteer als HH:mm (en wees eerlijk),16. Wat is de afstand van thuis / kot naar de KdG campus Groenplaats (in km)?,17. Hoe kom je naar school?,18. In 2012 bedroeg de opwarming van de aarde 0.85°C t.o.v. het jaar 1880. In 2020 bedroeg het reeds 0.98°C. Wanneer zal de aarde volgens jou meer dan 1.5°C opgewarmd zijn door de klimaatopwarming?,19.  Hoeveel zakgeld krijg je of verdien je zelf per maand?,20a. Hoeveel stukken / porties fruit eet je gemiddeld per dag?,21. Welk besturingssysteem gebruik je het liefst?,"22. Stel dat je maar één app op je smartphone mocht zetten, welke zou je dan kiezen",23a. In hoeverre vind je het belangrijk om het welzijn van anderen te beschermen en te verzorgen?,23b. In hoeverre geloof je dat het belangrijk is om middelen gelijk en eerlijk te verdelen?,"23c. In hoeverre vind je het belangrijk om loyaal te zijn aan je familie, vrienden of je land?",23d. In hoeverre vind je het belangrijk om gezag te respecteren en gevestigde regels en normen te volgen?,23e. In hoeverre geloof je dat het belangrijk is om zuiverheid te handhaven en gedrag of handelingen te vermijden die als vulgair of immoreel worden ervaren?,23f. In hoeverre vind je het belangrijk dat individuen vrijheid van keuze en expressie hebben zonder inmenging van anderen?,24. Wat is volgens jou het zwaarste vak uit het eerste jaar?,25. Welke vak uit het eerste jaar TI vind je het boeiendst?,"26. In het hoger onderwijs wordt 1 studiepunt gelijkgesteld aan 25 uren studiebelasting.  
Wat is jouw inschatting?	",27. Ik geef toestemming om deze gegevens geanonimiseerd te gebruiken binnen de lessen Data Science van de opleiding Toegepaste Informatica op KdG.
6/09,Rechts,45,217,Weet ik niet,Positief,0,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;John F. Kennedy werd vermoord in opdracht van de CIA;De eerste corona-uitbraken gebeuren in de buurt van 5G zendmasten;De wereld wordt eigenlijk gecontroleerd door een geheime elite;AIDS werd in labo gemaakt,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Sport (beoefenen/supporteren),6,Extreem,01:00,15,Met de trein,2036-03-21,40,0,Windows,Podcast App,4,3,5,2,1,4,Data science 1,Programmeren 1 - Java,15,Ja
1/04,Rechts,36.5,160,A,Positief,3,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Gamen,3,Groot,08:00,17,Met de bus,2050-01-01,1300,0,Windows,Muziek App,4,2,3,4,4,4,Programmeren 1 - Java,Netwerken 1,20,Ja
8/18,Rechts,44,180,AB,Negatief,3,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Sport (beoefenen/supporteren),8,Groot,18:00,25,Met de trein,2062-03-31,50,2,Windows,Muziek App,4,4,5,3,4,5,Geen enkel,Programmeren 1 - Java,20,Ja
6/09,Rechts,44,186,AB,Positief,1,Vaccinaties kunnen autisme veroorzaken,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Andere,6,Matig,05:00,25,Te voet;Met de fiets;Met de tram,2050-01-11,50,2,iOS,GPS App,1,2,5,2,2,5,Programmeren 1 - Java,Programmeren 1 - Java,17,Ja
4/09,Rechts,43,180,O,Negatief,1,De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Sport (beoefenen/supporteren),2,Zeer Groot,18:00,26,Te voet;Met de trein;Met de tram,2060-01-01,100,1,Windows,Muziek App,3,2,5,3,3,4,Management 1,Netwerken 1,25,Ja
2/04,Rechts,43,179,A,Positief,4,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;AIDS werd in labo gemaakt;Vaccinaties kunnen autisme veroorzaken;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie A: Motorfietsen.;Categorie B: Wagens.,in een stad,Software Management,Sport (beoefenen/supporteren),6,Niet,03:00,20,Met de tram,2030-03-22,5,2,Windows,Muziek App,3,2,5,4,3,3,Programmeren 1 - Java,Databanken 1,15,Ja
1/05,Rechts,38,162,O,Weet ik niet,1,Geen enkele bewering is aannemelijk,Geen,in een stad,Applicatieontwikkeling,Muziek (bespelen/luisteren),2,Zeer Groot,10:00,10,Met de trein,2050-12-06,500,0,Windows,Muziek App,5,4,4,5,4,5,Programmeren 1 - Java,User interfaces 1,35,Ja
5/13,Rechts,43,176,O,Positief,1,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,3,Matig,03:00,23,Met de fiets;Met de tram;Met de bus,2020-02-01,300,2,Windows,Andere App,3,4,5,3,3,4,Computersystemen 1,User interfaces 1,10,Ja
4/09,Rechts,43,184,O,Negatief,2,Prinses Diana kwam niet per ongeluk om het leven;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),4,Groot,20:00,7,Met de fiets;Met de tram,2050-06-22,100,4,Windows,Sociaal Netwerk App,5,4,5,4,4,3,Programmeren 1 - Java,Software engineering 1,12,Ja
6/10,Rechts,42,170,Weet ik niet,Weet ik niet,6,Geen enkele bewering is aannemelijk,Geen,in een stad,Applicatieontwikkeling,Gamen,4,Groot,02:00,5,Met de tram,2040-01-01,0,1,Windows,Sociaal Netwerk App,3,3,5,3,2,4,Netwerken 1,Programmeren 1 - Java,10,Ja
13/18,Links,43,181,AB,Positief,2,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De eerste corona-uitbraken gebeuren in de buurt van 5G zendmasten;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite;AIDS werd in labo gemaakt;Vaccinaties kunnen autisme veroorzaken;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment;Geen enkele bewering is aannemelijk",Geen,in een stad,Applicatieontwikkeling,Gamen,4,Extreem,02:00,10,Met de tram,2070-02-02,0,5,Windows,Andere App,3,3,3,3,3,3,Computersystemen 1,Programmeren 1 - Java,10,Ja
5/09,Links,43.5,180,B,Positief,3,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Sport (beoefenen/supporteren),5,Zeer Groot,08:00,15,Met de fiets;Met de trein,2030-01-01,950,1,Linux,Agenda App,3,2,5,4,4,3,Data science 1,Programmeren 1 - Java,18,Ja
8/13,Rechts,46,183,O,Positief,2,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Gamen,4,Extreem,05:00,22.9,Met de trein;Met de tram,2032-05-17,250,0,Windows,Podcast App,4,3,3,4,5,3,Management 1,Data science 1,20,Ja
9/13,Links,41,180,Weet ik niet,Weet ik niet,2,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Lezen,4,Zeer Groot,00:00,30,Met de tram;Met de bus,2100-01-01,50,0,Windows,Sociaal Netwerk App,3,4,2,1,1,4,Geen enkel,Programmeren 1 - Java,20,Ja
5/9,Rechts,43,184,B,Positief,2,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie A: Motorfietsen.;Categorie B: Wagens.,in een stad,Software Management,Sport (beoefenen/supporteren),4,Weinig,04:00,24,Met de trein;Andere,2030-01-01,900,2,Windows,Muziek App,4,5,5,2,5,5,Programmeren 1 - Java,Software engineering 1,10,Ja
8/9,Rechts,44,185,O,Positief,1,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie A: Motorfietsen.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Sport (beoefenen/supporteren),4,Matig,02:30,24,Met de tram;Andere,2025-02-16,75,1,Windows,GPS App,5,4,5,3,4,4,Software engineering 1,Programmeren 1 - Java,15,Ja
6/9,Rechts,41,168,Weet ik niet,Weet ik niet,2,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;AIDS werd in labo gemaakt;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Geen,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),4,Extreem,03:00,6,Met de tram;Met de bus,2059-05-15,2000,4,Windows,Muziek App,5,2,5,3,4,3,Netwerken 1,Programmeren 1 - Java,40,Nee
8/9,Rechts,46.5,186,Weet ik niet,Weet ik niet,2,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Gamen,6,Zeer Groot,03:00,47.1,Met de trein;Met de tram;Met de bus,2032-10-05,0,1,Windows,Muziek App,4,5,3,4,1,4,Netwerken 1,Databanken 1,20,Ja
6/9,Beide,47,205,AB,Positief,7,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De eerste corona-uitbraken gebeuren in de buurt van 5G zendmasten;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite;AIDS werd in labo gemaakt;Vaccinaties kunnen autisme veroorzaken;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment",Categorie G: Landbouwvoertuigen.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Software Management,Shoppen,9,Niet,26:34,50,Te voet,2500-12-12,3500,7,Linux,GPS App,1,5,1,1,5,1,Communicatie 1,Communicatie 1,5,Ja
6/9,Rechts,43,175,A,Positief,2,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite;AIDS werd in labo gemaakt;Vaccinaties kunnen autisme veroorzaken",Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie A: Motorfietsen.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Sport (beoefenen/supporteren),5,Weinig,14:00,13,Met de trein,2023-02-16,800,3,Windows,Bank App,1,1,5,1,1,5,Geen enkel,User interfaces 1,20,Ja
5/9,Rechts,42,174,B,Positief,2,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Muziek (bespelen/luisteren),4,Weinig,02:00,15,Met de tram,2045-01-16,665,2,Windows,Muziek App,5,4,1,3,3,5,Management 1,Computersystemen 1,20,Ja
7/9,Rechts,40,170,Weet ik niet,Weet ik niet,1,"Prinses Diana kwam niet per ongeluk om het leven;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment",Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,2,Groot,03:00,34,Met de fiets;Met de trein;Met de tram;Met de auto,2040-01-19,50,1,Windows,Sociaal Netwerk App,3,4,3,3,3,5,Computersystemen 1,Programmeren 1 - Java,30,Nee
5/9,Rechts,42,178,O,Positief,1,De wereld wordt eigenlijk gecontroleerd door een geheime elite,Geen,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),3,Matig,03:00,9,Met de tram,2035-01-01,100,1,Windows,Sociaal Netwerk App,4,3,5,4,4,4,Programmeren 1 - Java,User interfaces 1,35,Ja
5/9,Rechts,40,176,O,Negatief,3,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,in een stad,Artificial Intelligence,Sport (beoefenen/supporteren),3,Matig,05:30,18,Met de tram;Met de auto,2037-07-11,400,1,Andere,Sociaal Netwerk App,4,3,4,3,3,3,Programmeren 1 - Java,Data science 1,5,Ja
4/9,Rechts,48,197,A,Negatief,3,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Internet/Social Media,5,Zeer Groot,12:00,15,Met de tram;Met de bus,2023-12-16,50,1,Windows,Muziek App,4,4,4,4,4,3,Netwerken 1,Computersystemen 1,16,Ja
3/9,Links,38,162,B,Positief,2,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Geen,in een stad,Artificial Intelligence,Internet/Social Media,7,Matig,10:00,25,Met de trein;Met de tram;Met de bus,2030-01-01,300,5,Windows,Sociaal Netwerk App,5,5,5,5,4,3,Netwerken 1,User interfaces 1,20,Ja
3/9,Rechts,38,165,A,Positief,4,"Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De wereld wordt eigenlijk gecontroleerd door een geheime elite;AIDS werd in labo gemaakt",Geen,in een stad,Systeem en netwerkbeheer,Shoppen,3,Matig,10:20,48,Met de trein;Met de tram;Met de bus,2025-03-16,400,5,Windows,Sociaal Netwerk App,3,4,5,4,3,3,Programmeren 1 - Java,Computersystemen 1,8,Ja
4/18,Rechts,41,168,O,Weet ik niet,2,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Geen,in een stad,Software Management,Internet/Social Media,7,Groot,12:00,6,Met de tram,2024-10-20,300,0,Windows,Andere App,4,3,3,4,4,4,Netwerken 1,Programmeren 1 - Java,30,Ja
3/9,Rechts,40,172,B,Positief,2,De maanlanding is in scène gezet om de Russen te slim af te zijn;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden,Geen,in een stad,Applicatieontwikkeling,Muziek (bespelen/luisteren),4,Zeer Groot,04:00,25,Te voet;Met de fiets;Met de trein;Met de tram,2023-03-07,500,0,Windows,Muziek App,5,4,5,3,2,4,Management 1,Programmeren 1 - Embedded,8,Ja
6/9,Links,45,188,Weet ik niet,Weet ik niet,1,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;John F. Kennedy werd vermoord in opdracht van de CIA;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De wereld wordt eigenlijk gecontroleerd door een geheime elite",Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Sport (beoefenen/supporteren),4,Niet,10:00,35,Te voet;Met de trein;Met de tram,2050-01-01,0,5,Windows,Andere App,4,2,5,3,5,1,Management 1,Netwerken 1,40,Ja
9/13,Rechts,43,175,O,Positief,2,"Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De wereld wordt eigenlijk gecontroleerd door een geheime elite;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment",Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Sport (beoefenen/supporteren),6,Groot,04:00,25.5,Met de bus;Andere,2050-02-01,750,1,Windows,Sociaal Netwerk App,5,4,5,4,2,4,Management 1,Programmeren 1 - Java,25,Ja
6/9,Rechts,43,170,A,Positief,2,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Gamen,4,Zeer Groot,14:00,8,Met de fiets;Met de trein;Met de tram,2030-01-01,30,1,Windows,Muziek App,5,5,5,3,3,3,Software engineering 1,Programmeren 1 - Java,30,Ja
10/18,Rechts,36,153,Weet ik niet,Weet ik niet,2,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;AIDS werd in labo gemaakt;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Geen,in een stad,Artificial Intelligence,Film/TV-series,8,Groot,10:00,15,Met de tram;Met de bus,2050-01-01,500,1,Windows,Sociaal Netwerk App,4,3,5,4,4,4,Netwerken 1,Programmeren 1 - Java,20,Ja
4/9,Rechts,45,177,AB,Positief,1,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De wereld wordt eigenlijk gecontroleerd door een geheime elite;Vaccinaties kunnen autisme veroorzaken",Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Sport (beoefenen/supporteren),2,Zeer Groot,08:00,32.4,Met de trein;Met de tram;Met de auto,2025-01-01,0,1,Windows,Andere App,4,3,5,4,4,3,Management 1,User interfaces 1,20,Ja
3/9,Rechts,42,178,Weet ik niet,Weet ik niet,7,"Prinses Diana kwam niet per ongeluk om het leven;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De eerste corona-uitbraken gebeuren in de buurt van 5G zendmasten;De wereld wordt eigenlijk gecontroleerd door een geheime elite;Vaccinaties kunnen autisme veroorzaken",Categorie B: Wagens.,in een stad,Systeem en netwerkbeheer,Muziek (bespelen/luisteren),4,Groot,09:00,0.2,Te voet,2030-07-16,300,3,Windows,Bank App,3,4,4,3,5,5,Management 1,Databanken 1,10,Ja
5/9,Rechts,36,150,O,Positief,1,Geen enkele bewering is aannemelijk,Geen,in een stad,Applicatieontwikkeling,Internet/Social Media,4,Groot,13:00,2,Met de tram,2050-01-01,100,1,iOS,Game App,3,4,4,4,4,4,Computersystemen 1,Programmeren 1 - Java,10,Nee
10/18,Rechts,38.5,168,B,Positief,1,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Geen,in een stad,Artificial Intelligence,Gamen,6,Zeer Groot,06:30,1.7,Te voet;Met de tram;Met de auto,2050-01-01,100,2,iOS,Sociaal Netwerk App,4,3,4,3,5,5,Netwerken 1,Programmeren 1 - Java,20,Ja
5/18,Links,45,177,Weet ik niet,Weet ik niet,1,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,3,Extreem,03:00,10,Met de tram;Met de bus,2300-01-01,400,2,Windows,Openbaar vervoer App,5,5,5,4,4,5,Software engineering 1,Computersystemen 1,35,Ja
3/18,Links,40,173,A,Negatief,1,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Sport (beoefenen/supporteren),4,Groot,05:30,24,Met de tram;Met de auto,2050-01-01,90,1,Windows,Muziek App,3,4,4,2,3,5,Data science 1,Programmeren 1 - Java,28,Ja
10/13,Rechts,41,184,O,Weet ik niet,2,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,6,Matig,02:00,11.46,Met de trein;Met de tram,2035-06-01,33,0,Windows,GPS App,4,5,4,2,3,5,Management 1,Software engineering 1,22,Ja
6/18,Rechts,43,177,Weet ik niet,Weet ik niet,1,De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),7,Matig,15:30,2,Met de fiets;Met de tram,2025-01-01,400,1,Windows,Muziek App,4,3,3,2,4,4,Software engineering 1,User interfaces 1,25,Ja
7/18,Rechts,43,179,Weet ik niet,Weet ik niet,2,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,in een stad,Artificial Intelligence,Sport (beoefenen/supporteren),5,Groot,04:00,12,Met de tram;Met de auto,2035-01-01,500,0,Windows,Muziek App,4,4,5,4,4,4,Communicatie 1,Programmeren 1 - Java,20,Ja
10/18,Rechts,42,160,O,Positief,1,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,in een stad,Systeem en netwerkbeheer,Sport (beoefenen/supporteren),6,Groot,15:30,5,Met de fiets,2026-09-07,1850,1,Linux,Agenda App,5,5,4,3,4,4,Geen enkel,Data science 1,20,Ja
13/18,Rechts,43,178,O,Weet ik niet,1,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Gamen,3,Zeer Groot,15:30,1,Met de fiets,2026-03-18,80,1,Windows,Bank App,4,4,4,3,3,4,Computersystemen 1,Programmeren 1 - Java,20,Ja
7/18,Rechts,46,198,Weet ik niet,Weet ik niet,1,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie A: Motorfietsen.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Film/TV-series,4,Zeer Groot,04:30,43,Andere,2026-04-17,300,0,Windows,Andere App,4,4,5,4,4,5,Data science 1,User interfaces 1,25,Ja
5/18,Links,42,182,A,Positief,0,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite;Vaccinaties kunnen autisme veroorzaken,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Software Management,Sport (beoefenen/supporteren),4,Zeer Groot,07:00,1,Te voet;Met de tram,2050-01-01,80,2,Windows,Muziek App,3,1,5,4,5,5,Data science 1,Netwerken 1,10,Ja
3/18,Rechts,36,170,O,Positief,2,Geen enkele bewering is aannemelijk,Geen,in een stad,Applicatieontwikkeling,Film/TV-series,5,Groot,10:00,33,Met de trein;Met de tram;Met de bus,2029-02-27,500,1,Windows,Sociaal Netwerk App,4,4,4,3,4,4,Management 1,Programmeren 1 - Java,25,Ja
8/18,Rechts,47,180,A,Positief,1,John F. Kennedy werd vermoord in opdracht van de CIA,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Internet/Social Media,4,Groot,00:00,1,Met de fiets,2036-01-01,55,1,Windows,Sociaal Netwerk App,5,5,3,3,4,4,Data science 1,Computersystemen 1,4,Ja
11/18,Links,42,168,Weet ik niet,Weet ik niet,0,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Film/TV-series,4,Zeer Groot,04:00,28.2,Met de fiets;Met de auto,2024-01-15,0,1,Windows,Muziek App,3,1,4,3,3,1,Communicatie 1,Geen enkel,0,Ja
14/18,Rechts,43,173,Weet ik niet,Weet ik niet,2,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Film/TV-series,4,Groot,06:00,14.5,Met de tram;Met de bus,2025-01-01,250,2,Windows,Game App,4,4,4,4,4,4,Netwerken 1,Computersystemen 1,20,Ja
11/18,Rechts,45,195,O,Negatief,1,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,4,Matig,10:00,16,Met de bus,2050-01-01,150,1,Windows,Muziek App,4,4,4,4,4,1,Management 1,Programmeren 1 - Embedded,30,Ja
9/90,Links,42,177,Weet ik niet,Weet ik niet,2,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;AIDS werd in labo gemaakt;Geen enkele bewering is aannemelijk",Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Andere,4,Matig,24:00,20,Met de bus;Met de auto,2073-01-01,100,0,Windows,Andere App,3,5,2,5,1,3,Data science 1,Data science 1,40,Ja
